"{'#ARI3', '@PHI3'}","{'@PIT3', '#CWS3'}","{'#BOS3', '@NYM3'}","{'@LAD3', '#SEA3'}","{'#TB3', '@HOU3'}","{'@NYY4', '#TOR4'}","{'#WAS3', '@LAA3'}","{'@OAK3', '#STL3'}","{'@CHC3', '#ATL3'}","{'@COL4', '#MIL4'}","{'@CLE2', '#CIN2'}","{'@KC4', '#MIN4'}","{'#SD3', '@BAL3'}","{'#SF3', '@MIA3'}","{'#TEX3', '@DET3'}"
"{'#DET4', '@CLE4'}","{'#SD3', '@PHI3'}","{'@TEX3', '#STL3'}","{'#WAS4', '@MIA4'}","{'#PIT3', '@BAL3'}","{'@KC3', '#LAA3'}","{'@OAK3', '#CWS3'}","{'@NYY3', '#COL3'}","{'#CIN4', '@MIL4'}","{'@TOR4', '#TB4'}","{'@ARI4', '#SF4'}","{'@LAD3', '#CHC3'}","{'#MIN3', '@BOS3'}","{'#HOU3', '@NYM3'}","{'@SEA3', '#ATL3'}"
"{'@OAK4', '#SEA4'}","{'@BAL4', '#NYY4'}","{'#HOU3', '@ATL3'}","{'@STL4', '#PIT4'}","{'#MIA3', '@SF3'}","{'@KC3', '#SD3'}","{'#CIN3', '@TOR3'}","{'@COL3', '#MIN3'}","{'#LAD4', '@ARI4'}","{'#WAS3', '@CLE3'}","{'@TEX3', '#TB3'}","{'@CHC3', '#LAA3'}","{'@DET4', '#CWS4'}","{'#NYM3', '@MIL3'}","{'@BOS3', '#PHI3'}"
"{'@WAS2', '#BAL2'}","{'#LAA4', '@SEA4'}","{'#PHI4', '@NYM4'}","{'#NYY3', '@TOR3'}","{'#HOU3', '@DET3'}","{'#CLE4', '@KC4'}","{'#OAK4', '@BOS4'}","{'@LAD3', '#MIA3'}","{'@ATL3', '#CWS3'}","{'#TEX4', '@TB4'}","{'@MIL2', '#MIN2'}","{'#CIN3', '@COL3'}","{'#SF3', '@CHC3'}","{'@PIT3', '#SD3'}","{'@STL4', '#ARI4'}"
"{'@SD3', '#MIN3'}","{'@SF4', '#ATL4'}","{'#LAD3', '@STL3'}","{'@TEX4', '#CWS4'}","{'@NYY3', '#PIT3'}","{'@PHI4', '#MIA4'}","{'@DET3', '#CLE3'}","{'@KC3', '#BOS3'}","{'#MIL3', '@ARI3'}","{'#WAS3', '@CIN3'}","{'@LAA3', '#TB3'}","{'#TOR4', '@BAL4'}","{'#COL3', '@SEA3'}","{'#CHC3', '@HOU3'}","{'#OAK3', '@NYM3'}"
"{'#CIN3', '@LAD3'}","{'@MIA3', '#PHI3'}","{'@TB4', '#BAL4'}","{'@NYM4', '#ATL4'}","{'@PIT4', '#CHC4'}","{'@ARI3', '#LAA3'}","{'@TEX3', '#NYY3'}","{'#BOS3', '@SEA3'}","{'#CWS3', '@HOU3'}","{'@TOR3', '#MIN3'}","{'#OAK3', '@WAS3'}","{'#DET3', '@CLE3'}","{'@MIL3', '#KC3'}","{'@COL4', '#SD4'}","{'#SF3', '@STL3'}"
"{'@TOR3', '#BAL3'}","{'#PIT4', '@NYM4'}","{'@ARI3', '#PHI3'}","{'#DET3', '@CWS3'}","{'#WAS3', '@KC3'}","{'#MIL3', '@HOU3'}","{'@ATL4', '#MIA4'}","{'@TEX4', '#OAK4'}","{'@TB4', '#MIN4'}","{'@NYY4', '#SEA4'}","{'#LAD3', '@BOS3'}","{'#LAA3', '@SF3'}","{'@CLE3', '#COL3'}","{'@SD4', '#STL4'}","{'@CIN4', '#CHC4'}"
"{'#SD3', '@WAS3'}","{'#HOU2', '@COL2'}","{'@CHC3', '#PIT3'}","{'@CLE3', '#ATL3'}","{'#TEX3', '@BAL3'}","{'#DET4', '@MIN4'}","{'#OAK4', '@LAA4'}","{'@TB2', '#MIA2'}","{'@TOR4', '#CWS4'}","{'#SEA3', '@PHI3'}","{'#SF3', '@CIN3'}","{'#NYY3', '@ARI3'}","{'#STL3', '@BOS3'}","{'#NYM3', '@KC3'}","{'#MIL3', '@LAD3'}"
"{'#LAA3', '@BOS3'}","{'#SF3', '@MIN3'}","{'@TEX3', '#MIA3'}","{'#CWS3', '@NYM3'}","{'@MIL3', '#COL3'}","{'@WAS4', '#ARI4'}","{'@ATL3', '#PIT3'}","{'@LAD3', '#TOR3'}","{'@TB4', '#NYY4'}","{'@OAK3', '#BAL3'}","{'@HOU4', '#SEA4'}","{'#STL2', '@KC2'}","{'#CHC3', '@DET3'}","{'@SD3', '#CIN3'}","{'@PHI3', '#CLE3'}"
"{'@SD3', '#HOU3'}","{'#SEA3', '@BAL3'}","{'#NYY3', '@CHC3'}","{'#KC2', '@STL2'}","{'@CLE4', '#MIN4'}","{'@CIN3', '#ARI3'}","{'#BOS3', '@WAS3'}","{'#TEX3', '@NYM3'}","{'#LAD3', '@PHI3'}","{'#DET3', '@TOR3'}","{'@ATL3', '#TB3'}","{'@OAK3', '#MIA3'}","{'#MIL3', '@SF3'}","{'@LAA3', '#CWS3'}","{'@COL3', '#PIT3'}"
"{'@SD3', '#MIL3'}","{'#TOR3', '@BAL3'}","{'@LAD4', '#COL4'}","{'@OAK3', '#PHI3'}","{'@LAA4', '#TEX4'}","{'@MIN4', '#HOU4'}","{'@TB3', '#ARI3'}","{'#STL3', '@PIT3'}","{'@ATL3', '#CHC3'}","{'#DET3', '@WAS3'}","{'#CLE4', '@CWS4'}","{'#NYY3', '@SEA3'}","{'#SF3', '@BOS3'}","{'#KC3', '@MIA3'}","{'#CIN3', '@NYM3'}"
